Id,Label,Type,gaza-ontology#containsEntity,gaza-ontology#hasTitle,22-rdf-syntax-ns#type,gaza-ontology#hasDate,gaza-ontology#hasText,rdf-schema#label,22-rdf-syntax-ns#first,22-rdf-syntax-ns#rest,rdf-schema#domain,rdf-schema#range,rdf-schema#subClassOf
http://example.com/gaza-ontology#NewsArticle_3008,gaza-ontology#NewsArticle_3008,gaza-ontology#NewsArticle,,حقوقيون عرب يطالبون الجمعية العامة بإعلان أفعال إسرائيل بغزة إبادة جماعية,,2023-12-12,طالبت مجموعة من المدافعين عن حقوق الإنسان والخبراء العرب، أمس الاثنين، رئيس الجمعية العامة للأمم المتحدة دينيس فرانسيس إعلان الفظائع التي ترتكبها إسرائيل في غزة منذ بداية الحرب بمثابة إبادة جماعية.,,,,,,
http://example.com/gaza-ontology#NewsArticle_3508,gaza-ontology#NewsArticle_3508,gaza-ontology#NewsArticle,,كاتب إسرائيلي: نحن بحاجة لأكاذيب هاغاري لنؤمن أننا منتصرون,,2023-12-24,في إسرائيل تعتبر الأكاذيب صناعة، وهي سلعة رائجة للغاية، فأي شخص يريد أن يقول الحقيقة يعتبر جزءا من صانعي الاكتئاب المثبطين، من أمثال اليساريين وهآرتس ومن على شاكلتهم من متصيدي الأخطاء.,,,,,,
http://example.com/gaza-ontology#NewsArticle_4989,gaza-ontology#NewsArticle_4989,gaza-ontology#NewsArticle,,إنترسبت: هذه القوانين خرقتها إسرائيل أثناء دهمها مستشفى بجنين,,2024-02-01,تنكُّر الجنود الإسرائيليين كأفراد طبيين لا يعرض العاملين الطبيين الحقيقيين للخطر فحسب؛ بل يشير أيضا إلى أنهم مذنبون بارتكاب جريمة الحرب المتمثلة في الغدر بقتلهم 3 فلسطينيين في مستشفى بالضفة الغربية.,,,,,,
http://example.com/gaza-ontology#NewsArticle_1808,gaza-ontology#NewsArticle_1808,gaza-ontology#NewsArticle,,استمرار المظاهرات في أنحاء العالم رفضا للعدوان الإسرائيلي على غزة,,2023-11-15,تواصلت الثلاثاء في أنحاء العالم المظاهرات الرافضة للعدوان الإسرائيلي على غزة، والذي أدى حتى الحين لاستشهاد أزيد من 11 ألف فلسطيني معظمهم من النساء والأطفال.,,,,,,
http://example.com/gaza-ontology#NewsArticle_1161,gaza-ontology#NewsArticle_1161,gaza-ontology#NewsArticle,,البعثة الطبية النرويجية: نطالب الدول العربية بقطع الغاز والنفط عن أميركا,,2023-10-31,طالب مسؤول البعثة الطبية النرويجية إلى غزة، الدكتور مادس غلبرت، إسرائيل بإدخال الماء والوقود والغذاء إلى قطاع غزة فورا، وأن توقف حربها على القطاع المحاصر.,,,,,,
http://example.com/gaza-ontology#NewsArticle_573,gaza-ontology#NewsArticle_573,gaza-ontology#NewsArticle,,مظاهرات حاشدة في عمّان تطالب بإغلاق سفارتي واشنطن وتل أبيب,,2023-10-18,تصدت قوات الأمن الأردنية لمظاهرات حاشدة احتجاجا على المجزرة التي ارتكبتها قوات الاحتلال في مستشفى المعمداني بغزة، ومنعتهم من الوصول إلى سفارتي إسرائيل وأميركا، وطالب المحتجون السلطات بفتح الحدود.,,,,,,
http://example.com/gaza-ontology#NewsArticle_772,gaza-ontology#NewsArticle_772,gaza-ontology#NewsArticle,,"مسيّرات ""الزواري"".. طائرات صنعتها القسام واستخدمتها في ""طوفان الأقصى""",,2023-10-23,مسيّرة جوية صنعها المهندس التونسي والقيادي بكتائب القسام محمد الزواري. كان ظهورها الأول عام 2014، تستخدم في الاستطلاع والرصد، وبإمكانها حمل أسلحة مثل الصواريخ أو القنابل الصغيرة.,,,,,,
http://example.com/gaza-ontology#NewsArticle_1993,gaza-ontology#NewsArticle_1993,gaza-ontology#NewsArticle,,العشرات تحت الأنقاض بقصف عنيف في تل الزعتر بغزة,,2023-11-19,أظهرت مشاهد فيديو آثار القصف الإسرائيلي العنيف على مربع سكني في منطقة تل الزعتر بغزة، والذي تعرضت له خلال الساعات الماضية، مما أدى لاستشهاد وإصابة العشرات، فيما تجري عمليات بحث عن ناجين تحت الأنقاض.,,,,,,
http://example.com/gaza-ontology#NewsArticle_1525,gaza-ontology#NewsArticle_1525,gaza-ontology#NewsArticle,,إيكونوميست: الضفة الغربية تقترب من الغليان,,2023-11-08,نشرت إيكونوميست تقريرا يقول إن أعمال العنف ضد الفلسطينيين من قبل المستوطنين والجيش الإسرائيلي بالضفة الغربية المحتلة قد زادت بشكل حاد منذ هجوم “طوفان الأقصى” وإن الضفة قد اقتربت من نقطة الغليان.,,,,,,
http://example.com/gaza-ontology#NewsArticle_3343,gaza-ontology#NewsArticle_3343,gaza-ontology#NewsArticle,,"فورين أفيرز: عقبات تحول دون تطبيق سيناريوهات ""اليوم التالي"" لحرب غزة",,2023-12-20,يطرح كاتب المقال الذي نشرته مجلة “فورين أفيرز” سؤالا عن كيفية بناء نظام سياسي جديد بعد العدوان الإسرائيلي على غزة، ومن يتوقع أن يشغل الفراغ الإداري الذي سيترتب على مثل هذه النتيجة.,,,,,,
